Username,Total Equipment Broken,BOW,BRUSH,CARROT_ON_A_STICK,CHAINMAIL_BOOTS,CHAINMAIL_CHESTPLATE,CHAINMAIL_HELMET,CHAINMAIL_LEGGINGS,COPPER_AXE,COPPER_BOOTS,COPPER_CHESTPLATE,COPPER_HELMET,COPPER_HOE,COPPER_LEGGINGS,COPPER_PICKAXE,COPPER_SHOVEL,COPPER_SPEAR,COPPER_SWORD,CROSSBOW,DIAMOND_AXE,DIAMOND_BOOTS,DIAMOND_CHESTPLATE,DIAMOND_HELMET,DIAMOND_HOE,DIAMOND_LEGGINGS,DIAMOND_PICKAXE,DIAMOND_SHOVEL,DIAMOND_SWORD,FISHING_ROD,FLINT_AND_STEEL,GOLDEN_AXE,GOLDEN_BOOTS,GOLDEN_CHESTPLATE,GOLDEN_HELMET,GOLDEN_HOE,GOLDEN_LEGGINGS,GOLDEN_PICKAXE,GOLDEN_SHOVEL,GOLDEN_SWORD,IRON_AXE,IRON_BOOTS,IRON_CHESTPLATE,IRON_HELMET,IRON_HOE,IRON_LEGGINGS,IRON_PICKAXE,IRON_SHOVEL,IRON_SPEAR,IRON_SWORD,LEATHER_BOOTS,LEATHER_CHESTPLATE,LEATHER_HELMET,LEATHER_LEGGINGS,MACE,NETHERITE_AXE,NETHERITE_BOOTS,NETHERITE_CHESTPLATE,NETHERITE_HELMET,NETHERITE_HOE,NETHERITE_LEGGINGS,NETHERITE_PICKAXE,NETHERITE_SHOVEL,NETHERITE_SWORD,SHEARS,SHIELD,STONE_AXE,STONE_HOE,STONE_PICKAXE,STONE_SHOVEL,STONE_SPEAR,STONE_SWORD,TRIDENT,TURTLE_HELMET,WARPED_FUNGUS_ON_A_STICK,WOODEN_AXE,WOODEN_HOE,WOODEN_PICKAXE,WOODEN_SHOVEL,WOODEN_SPEAR,WOODEN_SWORD
ActuallyOdin,54.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1
BMPK,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0
scrotaticus,190.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,9,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,1,0,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Koyiar,30.0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0
Fueled_by_tea,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,5,1,22,63,0,0,0,0,0,2,0,0,0,0,0
WispyDan,36.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0
AbbyutterflyWolf,181.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,5,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,14,7,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,0,14,2,36,39,0,4,0,0,0,2,8,2,1,0,1
sullystingray,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0
AshJ96,54.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,1,0,2,1,1,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Slinker92,53.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,1,0,1,2,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0
