,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
2,ActuallyOdin,True,9.0,977.0,"600,913,250",297,723,"37,634,979",,5,3,"9,060,837","43,327,429","1,275","11,004","2,355,344",87,39,"10,728","680,580",121,"44,166",13,128,"25,336,091",102,"6,546","298,075,181","611,140,150","48,522,191",931,"1,547","5,289",186,72,35,204,43,13,"4,395","1,629",41,249,25,100,15,662,"952,564","1,105","607,755,037","21,745","1,844,154","37,276","67,321","5,215","52,847","20,210,223","6,450",371,107,220,11,6,339,"7,429,255","102,099,952",,"8,105,728","6,154",55,"1,057,676","32,667","250,775,173","22,361",898,"7,918",2,"6,203,083","348,051,071","18,784,325"
3,BMPK,True,11.0,312.0,"826,193,696",120,7,"14,714,628",,,,"7,314,217","58,379,897","9,141","8,978","11,676,187",259,,"18,845","981,932",2,"73,845",,,"12,889,329",42,26,"51,730,196","109,680,577","66,666","2,243","3,900","14,648","1,111",156,12,841,,,"8,171","3,481",42,143,20,127,12,224,"538,465",672,"3,361,914","4,734,342",,"22,519","65,078","5,794","75,911",,483,28,11,4,"9,380","3,169",457,"27,245,133","73,786,890",,"3,833,233","10,076",38,"169,051,459","32,630","196,326,473","40,921",138,"5,314",153,"9,284,802","245,612,237","27,115,101"
4,scrotaticus,True,0.0,66.0,"43,021,492",266,286,"12,963,434",,,,"700,666","2,688,881",,,"113,258",,,"1,542","55,597",60,"6,261",7,1,"1,864,622",3,,"10,890,378",,"8,959,784",317,,"4,525",47,77,,1,,10,"2,335","1,220",3,100,6,35,4,26,"114,136",361,"829,172",474,,"4,846","16,850",908,"9,603",,,,1,17,,,474,"7,909,009","64,637,735",,"755,987","3,266",,"67,545,446","42,096","157,988,671","16,982",2,7,1,"559,765","102,187,602","362,621"
5,Koyiar,True,5.0,136.0,"597,894,719","1,091",399,"13,074,068",,,,"1,247,203","26,282,669","5,198","42,523","6,071,749","2,678",,"13,145","3,795,854",156,"12,464",28,115,"185,903,399",88,"1,388","128,492,111","149,949,296","11,381,828",659,772,"2,672",659,146,51,133,,68,"4,403","2,115",62,483,13,40,146,101,"602,697","1,514","1,395,898","342,369","901,908","15,923","24,206","4,619","48,559","1,189,742,373",809,233,63,35,"1,788",938,777,"5,418,901","190,406,949",,"4,880,250","10,763",3,"31,691","31,720","148,275,913","28,404",258,"2,021",4,"2,702,779","112,992,587","4,403,919"
6,Fueled_by_tea,True,4.0,72.0,"352,637,662",166,104,"11,048,776",11,,20,"3,083,717","19,767,558","1,098","3,699","3,758,831",117,,"18,792","208,049",18,"79,724",2,31,"10,346,621",36,"2,622","60,147,844","394,219,317","25,878,851","1,206","1,256","5,863",314,65,7,"4,166",,1,"4,180","1,117",33,56,26,46,23,158,"562,337",497,"89,055,981","724,563",,"12,495","34,670","3,860","45,009",,321,50,,1,"3,885","3,236",392,"11,481,288","65,700,715",,"8,489,316","5,498",1,"928,217","27,454","138,791,525","19,195",248,"240,973","1,053","6,772,679","123,211,651","18,094,805"
7,WispyDan,True,1.0,49.0,"943,176,782","1,232","1,642","7,025,375",,,,"5,508,328","22,130,790","5,085","21,060","1,774,611",293,22,"41,638","841,066",234,"11,674",35,43,"30,745,014",39,"1,482","164,680,097","40,048,470","30,402,398",208,"1,661","1,152",291,79,143,701,4,3,"3,798","1,681",33,300,45,66,81,149,"755,302","1,259","505,410","23,639","1,748,979","31,568","24,580","10,785","25,027","189,441,292",68,383,43,120,10,8,360,"3,874,409","167,168,685",,"22,472,384","1,591",1,"948,677","10,610","136,358,228",559,270,"2,475",945,"5,753,249","231,509,004","9,624,636"
8,AbbyutterflyWolf,True,1.0,133.0,"332,041,513","2,586",37,"7,611,125",1,266,6,"2,837,529","2,891,676",68,160,"605,573",,,"5,676","285,075",152,"6,538",108,66,"5,559,421",111,"2,330","29,251,907","220,361,268","106,181,694",884,340,"3,039",200,65,601,122,18,2,"4,981","1,017",46,95,76,34,341,188,"193,833",934,"920,253","11,202","45,309","18,490","34,106","5,504","40,767","1,131,056",44,34,3,38,,,"1,358","1,121,030","172,430,951",,"17,441,650","5,189",,"276,649","44,780","124,627,096","19,637",232,179,485,"4,512,435","36,999,839","7,186,266"
9,sullystingray,True,1.0,112.0,"328,422,876",242,20,"3,743,775",,,1,"1,917,339","12,493,673",341,"7,752","4,070,911",1,,"3,028","160,244",77,"8,095",7,8,"5,702,089",4,"1,505","113,206,897","3,487,840","49,706,580",538,39,484,208,27,3,428,,18,"3,271","5,100",143,150,26,33,4,278,"263,963",631,"767,937","53,627",,"23,613","32,642","5,673","42,520","369,566,157",33,265,35,128,2,4,"1,203","3,926,708","110,339,707",,"25,220,008","3,620",,"76,713","12,613","107,997,633","19,184",109,364,,"3,086,946","77,259,326","8,873,031"
10,AshJ96,True,0.0,72.0,"262,526,917",256,7,"2,633,273",1,1,1,"1,760,103","4,915,342","1,168","5,572","1,325,948",,,"2,480","270,333",26,"13,818",,28,"7,431,688",19,"4,251","80,096,479","25,726,281","2,257,814","1,074",491,"3,386",269,57,567,211,19,4,"2,930","1,622",24,318,32,63,44,650,"357,625",500,"124,521","12,662","47,350","15,073","28,182","6,278","22,801","1,153,644",33,79,6,101,,,"1,036","1,720,660","117,345,166","69,589","7,351,717",373,7,"118,326","105,628","88,706,663",341,6,481,25,"2,604,755","125,916,792","3,821,835"
11,Slinker92,True,1.0,49.0,"63,691,167",312,54,"10,418,869",,51,,"1,995,834","3,846,623",183,"14,055","503,227",,,"2,090","100,502",37,"2,141",,71,"3,079,057",33,248,"11,514,489","4,119,401","711,589",74,1,198,86,5,11,21,7,,"3,030","2,788",1,28,96,30,48,"1,045","127,554",226,"148,007","8,296",,"1,467","8,885",684,"9,876",,,1,,157,,,44,"1,122,120","12,915,725",,"1,948,356",481,,"16,174,286","44,086","85,218,368",224,1,11,10,"2,999,316","146,387,013","9,254,397"
