Username,Total Mobs Killed,ALLAY,ARMADILLO,AXOLOTL,BAT,BEE,BLAZE,BOGGED,BREEZE,CAMEL,CAMEL_HUSK,CAT,CAVE_SPIDER,CHICKEN,COD,COPPER_GOLEM,COW,CREAKING,CREEPER,DOLPHIN,DONKEY,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,EVOKER,FOX,FROG,GHAST,GLOW_SQUID,GOAT,GUARDIAN,HAPPY_GHAST,HOGLIN,HORSE,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,MOOSHROOM,MULE,NAUTILUS,OCELOT,PANDA,PARCHED,PARROT,PHANTOM,PIG,PIGLIN,PIGLIN_BRUTE,PILLAGER,POLAR_BEAR,PUFFERFISH,RABBIT,RAVAGER,SALMON,SHEEP,SHULKER,SILVERFISH,SKELETON,SKELETON_HORSE,SLIME,SNIFFER,SNOW_GOLEM,SPIDER,SQUID,STRAY,STRIDER,TADPOLE,TRADER_LLAMA,TROPICAL_FISH,TURTLE,VEX,VILLAGER,VINDICATOR,WANDERING_TRADER,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOGLIN,ZOMBIE,ZOMBIE_HORSE,ZOMBIE_NAUTILUS,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
ActuallyOdin,21454,0,1,0,1,0,196,542,379,0,0,0,215,120,3,12,105,2,282,2,0,1565,3,3,2502,1,27,0,30,56,19,0,0,0,21,4,251,8,0,5035,0,0,1,0,0,0,0,2,126,142,47,256,3,3,1,20,0,46,10,316,1570,4,1243,0,8,1050,34,635,0,0,2,6,0,94,198,103,1,1,39,2,72,0,0,3478,0,0,70,486
BMPK,4644887,0,1,0,7,1,294,31,18,0,0,2,6,51,0,0,57,0,565815,1,2,99,0,1,21,1,54688,0,1,21,5,2,27,0,27,0,29,31,0,459,0,0,0,0,0,0,0,3,46,84,6,254702,0,0,5,12,0,45,0,2791,378,1,1561,0,15,265,45241,67,0,0,6,0,13,16,87,206214,2,0,56719,253,56,7,0,1015,0,0,14,3453565
scrotaticus,460,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,9,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,11,0,0,85,0,5,0,0,47,6,0,0,0,5,0,0,0,27,0,1,0,2,0,0,0,0,125,0,0,4,22
Koyiar,294624,0,4,0,3,0,103,163,50,0,0,0,32,986,3,0,444,1,962,1,4,79,1,114,26648,8,10874,1,5,49,33,1,1,17,148,1,82,16,0,881,0,0,1,1,1,0,1,3,26,421,3,53792,1,17,0,2,2,127,90,4632,487,3,539,0,0,266,58,165,0,0,15,0,0,5,64,42231,6,12,12269,133,22159,0,0,1017,0,0,22,114338
Fueled_by_tea,724461,0,0,0,15,0,24215,1,2,0,0,0,5,13,0,0,12,0,131,0,0,106,42,0,1100,2,23157,0,0,16104,0,0,13,0,35,0,25,32,0,295,0,0,0,0,0,0,0,85,19,84,0,113353,1,0,14,0,0,29,0,6043,422,0,762,0,0,103,53,6,0,0,2,0,3,0,5,89469,0,0,26324,0,13,3,0,422,0,0,10,421931
WispyDan,22302,0,2,1,3,1,65,117,62,0,3,1,88,251,0,0,261,34,643,0,6,337,4,4,11182,3,23,2,7,133,185,2,3,1,128,1,202,41,0,339,0,0,2,0,1,19,0,14,78,500,19,212,0,1,8,19,0,67,121,36,1982,13,452,0,0,680,23,175,0,6,32,0,0,58,1,83,19,24,55,4,14,3,0,3161,0,1,63,221
AbbyutterflyWolf,10061,0,0,4,24,3,10,8,7,0,0,0,7,232,0,0,97,5,135,3,58,242,14,0,3685,0,0,0,0,38,20,1,16,1,13,289,3,41,0,241,53,14,0,0,42,0,0,11,15,18,1,67,2,5,1308,0,2,74,24,16,459,1,107,4,1,308,27,48,0,0,9,0,1,0,18,0,6,0,7,2,897,3,0,1171,0,0,25,118
sullystingray,53509,0,0,0,1,0,15780,37,20,0,0,0,70,32,0,1,97,1,272,0,0,6214,0,0,10906,6,1,0,1,2,1907,0,0,0,16,17,15,0,1,340,0,0,0,0,0,0,1,1,30,35,11,116,0,0,59,2,1,41,2,620,2617,2,387,0,0,12450,21,0,0,0,12,0,0,4,2,6,3,0,7,0,0,2,0,1269,0,0,29,42
AshJ96,12200,1,20,11,6,15,72,70,49,0,0,1,89,139,0,0,253,20,530,6,7,213,6,0,3677,2,0,3,28,17,104,23,10,0,23,34,305,1,0,322,82,0,0,2,5,1,6,7,118,26,6,54,3,1,141,0,4,99,0,26,1442,0,639,0,1,642,167,108,0,0,16,8,15,0,6,6,6,1,9,0,111,3,0,2271,0,0,62,49
Slinker92,8249,0,0,0,1,0,15,123,8,0,0,0,2,44,0,0,251,6,112,0,0,654,0,0,4996,0,0,1,0,5,21,0,0,0,20,0,53,1,0,67,0,0,1,0,0,5,0,0,26,19,0,12,0,0,1,0,0,21,0,40,200,1,329,0,0,162,128,0,0,0,10,0,0,0,0,0,2,0,6,0,4,1,0,889,0,0,11,1
