Username,Total Deaths,ARMOR_STAND,BEE,BLAZE,BOGGED,BREEZE,CAVE_SPIDER,CREAKING,CREEPER,DOLPHIN,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,GHAST,GUARDIAN,HOGLIN,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,PANDA,PARCHED,PIGLIN,PIGLIN_BRUTE,PILLAGER,PLAYER,POLAR_BEAR,PUFFERFISH,RAVAGER,SHULKER,SILVERFISH,SKELETON,SLIME,SPIDER,STRAY,TRADER_LLAMA,VEX,VILLAGER,VINDICATOR,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOMBIE,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
ActuallyOdin,102,0,0,0,1,0,0,0,18,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,1,0,0,4,1,0,0,0,0,0,0,8,1,0,0,0,11,0,1
BMPK,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scrotaticus,47,0,0,0,0,0,0,0,6,0,7,0,0,3,0,0,0,0,1,13,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Koyiar,112,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,2,52,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,15,0,0,6,0,0
Fueled_by_tea,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
WispyDan,150,0,0,0,0,0,0,0,8,0,1,0,0,4,0,0,3,0,0,6,0,0,1,0,0,0,5,65,0,0,0,0,0,24,0,2,0,0,0,0,0,14,0,0,3,0,12,1,1
AbbyutterflyWolf,92,0,0,0,1,0,0,1,7,0,1,0,1,2,0,0,1,0,0,23,0,1,0,0,3,1,1,7,1,0,0,1,0,16,1,0,4,0,0,0,0,0,0,3,1,0,14,0,1
sullystingray,51,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,38,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
AshJ96,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,6,1,0,0,0,2,0,1
Slinker92,30,0,0,0,7,0,0,0,9,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
ExoticButter_,156,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,61,0,0,0,1,0,4,0,1,2,0,0,0,0,31,0,41,0,0,4,0,0
nineaf,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jasian,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NoLiver92,76,0,0,4,0,0,0,0,12,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,1,10,0,2,0,0,0,0,0,0,0,0,8,0,19,0,0
HalfWingedAngel,77,0,0,0,0,0,3,0,8,0,2,0,0,1,0,0,1,0,16,1,0,0,0,0,0,0,0,8,0,0,0,0,1,10,0,0,1,0,0,0,0,3,0,0,4,0,10,3,5
ProbablyDylan,27,0,0,0,0,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
imperfection_,26,0,1,0,0,1,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
