Username,AVIATE_ONE_BLOCKS,ANIMALS_BRED,BELL_RING,BOAT_ONE_BLOCKS,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_BLOCKS,CROUCH_ONE_BLOCKS,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_BLOCKS,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_BLOCKS,HAPPY_GHAST_ONE_BLOCKS,HORSE_ONE_BLOCKS,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_BLOCKS,MOB_KILLS,NAUTILUS_ONE_BLOCKS,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_BLOCKS,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_BLOCKS,STRIDER_ONE_BLOCKS,SWIM_ONE_BLOCKS,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_BLOCKS,WALK_ONE_BLOCKS,WALK_UNDER_WATER_ONE_BLOCKS
ActuallyOdin,6009132,297,723,376349,0,5,3,90608,433274,1275,11004,2355344,87,39,10728,680580,121,44166,13,128,253360,102,6546,2980751,6111401,485221,931,1547,5289,186,72,35,204,43,13,4395,1629,41,249,25,100,15,662,952564,1105,6077550,21745,18441,37276,67321,5215,52847,202102,6450,371,107,220,11,6,339,7429255,1020999,0,81057,6154,55,1057676,32667,250775173,22361,898,7918,2,62030,3480510,187843
BMPK,8261936,120,7,147146,0,0,0,73142,583798,9141,8978,11676187,259,0,18845,981932,2,73845,0,0,128893,42,26,517301,1096805,666,2243,3900,14648,1111,156,12,841,0,0,8171,3481,42,143,20,127,12,224,538465,672,33619,4734342,0,22519,65078,5794,75911,0,483,28,11,4,9380,3169,457,27245133,737868,0,38332,10076,38,169051459,32630,196326473,40921,138,5314,153,92848,2456122,271151
scrotaticus,430214,266,286,129634,0,0,0,7006,26888,0,0,113258,0,0,1542,55597,60,6261,7,1,18646,3,0,108903,0,89597,317,0,4525,47,77,0,1,0,10,2335,1220,3,100,6,35,4,26,114136,361,8291,474,0,4846,16850,908,9603,0,0,0,1,17,0,0,474,7909009,646377,0,7559,3266,0,67545446,42096,157988671,16982,2,7,1,5597,1021876,3626
Koyiar,5978947,1091,399,130740,0,0,0,12472,262826,5198,42523,6071749,2678,0,13145,3795854,156,12464,28,115,1859033,88,1388,1284921,1499492,113818,659,772,2672,659,146,51,133,0,68,4403,2115,62,483,13,40,146,101,602697,1514,13958,342369,9019,15923,24206,4619,48559,11897423,809,233,63,35,1788,938,777,5418901,1904069,0,48802,10763,3,31691,31720,148275913,28404,258,2021,4,27027,1129925,44039
Fueled_by_tea,3526376,166,104,110487,11,0,20,30837,197675,1098,3699,3758831,117,0,18792,208049,18,79724,2,31,103466,36,2622,601478,3942193,258788,1206,1256,5863,314,65,7,4166,0,1,4180,1117,33,56,26,46,23,158,562337,497,890559,724563,0,12495,34670,3860,45009,0,321,50,0,1,3885,3236,392,11481288,657007,0,84893,5498,1,928217,27454,138791525,19195,248,240973,1053,67726,1232116,180948
WispyDan,9431767,1232,1642,70253,0,0,0,55083,221307,5085,21060,1774611,293,22,41638,841066,234,11674,35,43,307450,39,1482,1646800,400484,304023,208,1661,1152,291,79,143,701,4,3,3798,1681,33,300,45,66,81,149,755302,1259,5054,23639,17489,31568,24580,10785,25027,1894412,68,383,43,120,10,8,360,3874409,1671686,0,224723,1591,1,948677,10610,136358228,559,270,2475,945,57532,2315090,96246
AbbyutterflyWolf,3320415,2586,37,76111,1,266,6,28375,28916,68,160,605573,0,0,5676,285075,152,6538,108,66,55594,111,2330,292519,2203612,1061816,884,340,3039,200,65,601,122,18,2,4981,1017,46,95,76,34,341,188,193833,934,9202,11202,453,18490,34106,5504,40767,11310,44,34,3,38,0,0,1358,1121030,1724309,0,174416,5189,0,276649,44780,124627096,19637,232,179,485,45124,369998,71862
sullystingray,3284228,242,20,37437,0,0,1,19173,124936,341,7752,4070911,1,0,3028,160244,77,8095,7,8,57020,4,1505,1132068,34878,497065,538,39,484,208,27,3,428,0,18,3271,5100,143,150,26,33,4,278,263963,631,7679,53627,0,23613,32642,5673,42520,3695661,33,265,35,128,2,4,1203,3926708,1103397,0,252200,3620,0,76713,12613,107997633,19184,109,364,0,30869,772593,88730
AshJ96,2625269,256,7,26332,1,1,1,17601,49153,1168,5572,1325948,0,0,2480,270333,26,13818,0,28,74316,19,4251,800964,257262,22578,1074,491,3386,269,57,567,211,19,4,2930,1622,24,318,32,63,44,650,357625,500,1245,12662,473,15073,28182,6278,22801,11536,33,79,6,101,0,0,1036,1720660,1173451,695,73517,373,7,118326,105628,88706663,341,6,481,25,26047,1259167,38218
Slinker92,636911,312,54,104188,0,51,0,19958,38466,183,14055,503227,0,0,2090,100502,37,2141,0,71,30790,33,248,115144,41194,7115,74,1,198,86,5,11,21,7,0,3030,2788,1,28,96,30,48,1045,127554,226,1480,8296,0,1467,8885,684,9876,0,0,1,0,157,0,0,44,1122120,129157,0,19483,481,0,16174286,44086,85218368,224,1,11,10,29993,1463870,92543
ExoticButter_,5851702,1173,362,60686,14,18,0,11453,251347,1651,226748,3963808,171,6,16874,581086,206,29936,21,23,233820,45,528,1757416,173663,62881,1491,731,1843,2595,92,59,278,6,4,7205,3340,148,400,115,201,48,126,797136,658,8596,269825,0,24301,46216,6166,53868,21474836,420,87,49,41,425,237,177,4605333,1199534,2318,46754,17559,24,194611,3178,84933082,24088,33,747,7,41519,2063062,92750
nineaf,4088211,47,61,78406,0,0,0,8322,93944,1838,9067,1457033,1281,0,15900,348318,5,7045,12,0,178891,9,1912,1160504,174809,480832,63,491,1064,109,17,54,7,0,5,1835,872,7,237,4,45,13,100,422257,517,7257,90412,5694,12647,13201,5221,21073,14688187,18,328,72,41,0,1,372,1893790,980610,0,53490,254,8,33719002,10669,81241187,329,68,553,47,15781,452618,39632
jasian,5023364,1477,189,80686,0,0,165,10747,169459,361,4125,3287612,2243,447,47415,779271,299,33657,11,265,362284,137,1323,1990386,550490,11070,484,392,2913,255,106,216,235,3,11,3996,1207,389,363,48,88,111,246,804551,919,1011,41510,997,10616,35660,7997,49820,7855,449,76,25,36,19,20,564,4035131,1330089,292,62769,11121,247,231550,31911,77236495,72169,40,870,8,28728,1562106,141885
NoLiver92,741089,59,4,96318,0,0,0,28283,28936,0,3900,153820,0,0,211,91333,97,3720,0,1,25612,7,578,305027,0,256,841,180,1496,36,2,3,8,0,3,1082,968,0,28,0,2,76,38,114069,575,58198,2316,0,1437,10755,209,6755,0,10,0,6,0,0,0,424,903145,418778,0,26418,246,0,190449,50482,76162826,200,11,258,48,15501,601125,78312
